***sph***Sun, 21 Jan 2024 09:50:13 +0300 IP: ::1 URL: /Pages/Signaphoto/SignaPhoto.php 
Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 
===sph===Sun, 21 Jan 2024 09:50:19 +0300 IP: ::1 URL: /Pages/Signaphoto/SignaPhoto.php 
Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 
===sph===Sun, 21 Jan 2024 10:11:17 +0300 IP: ::1 URL: /Pages/Signaphoto/SignaPhoto.php 
Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 
***sph***Sat, 27 Jan 2024 12:20:01 +0300 IP: ::1 URL: /Pages/Signaphoto/SignaPhoto.php 
Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 
===sph===Sat, 27 Jan 2024 12:48:57 +0300 IP: ::1 URL: /Pages/Signaphoto/SignaPhoto.php 
Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 
***sph***Sat, 27 Jan 2024 13:09:51 +0300 IP: ::1 URL: /Pages/Signaphoto/SignaPhoto.php 
Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 
***sph***Thu, 07 Mar 2024 20:05:43 +0300 IP: ::1 URL: /Pages/Signaphoto/SignaPhoto.php 
Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 
***sph***Wed, 25 Sep 2024 07:27:10 +0300 IP: ::1 URL: /Pages/Signaphoto/SignaPhoto.php 
Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 
***sph***Sat, 07 Dec 2024 08:02:14 +0300 IP: ::1 URL: /Pages/Signaphoto/SignaPhoto.php 
Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 
===sph===Sat, 07 Dec 2024 08:02:32 +0300 IP: ::1 URL: /Pages/Signaphoto/SignaPhoto.php 
Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 
